SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,TEAM_ID,GP,MIN,PTS,REB,AST,STL,BLK,OFF_RATING,DEF_RATING,TS_PCT,USG_PCT,PIE,WS,PER,ALL_NBA,ALL_NBA_TM
1996-97,Bryant Reeves,VAN,735,1610612763,75,2775.1,16.17,8.13,2.13,0.39,0.89,99.4,109.4,0.523,0.222,0.097,-11.51,17.16,0,0
1996-97,Bryant Stith,DEN,179,1610612743,52,1789.02,14.88,4.17,2.56,1.15,0.38,102.0,106.7,0.548,0.198,0.093,-4.1,16.87,0,0
1996-97,Bryon Russell,UTA,935,1610612762,81,2531.48,10.78,4.09,1.52,1.59,0.33,115.7,101.1,0.6,0.149,0.082,1.76,15.31,0,0
1996-97,Buck Williams,NYK,433,1610612752,74,1501.48,6.28,5.36,0.72,0.54,0.51,101.8,96.4,0.574,0.147,0.099,9.41,13.57,0,0
1996-97,Byron Scott,LAL,2,1610612747,79,1439.78,6.66,1.49,1.25,0.58,0.2,106.2,100.3,0.59,0.15,0.095,1.57,15.54,0,0
1996-97,Calbert Cheaney,WAS,384,1610612764,79,2416.25,10.59,3.39,1.44,0.97,0.23,106.1,104.4,0.53,0.163,0.067,-5.41,13.55,0,0
1996-97,Carl Herrera,SAS,61,1610612759,75,1831.14,7.96,4.53,0.67,0.83,0.71,98.8,108.1,0.463,0.187,0.058,-8.4,13.5,0,0
1996-97,Carl Thomas,CLE,1063,1610612739,19,75.79,1.11,0.68,0.42,0.11,0.05,91.4,107.2,0.43,0.15,0.079,-0.37,13.62,0,0
1996-97,Carlos Rogers,TOR,435,1610612761,56,1395.67,9.84,5.43,0.66,0.75,1.23,98.9,103.7,0.575,0.164,0.106,1.4,16.61,0,0
1996-97,Cedric Ceballos,PHX,76,1610612756,50,1428.2,14.58,6.6,1.28,0.66,0.46,109.6,106.4,0.522,0.243,0.103,-2.69,19.22,0,0
1996-97,Charles Barkley,HOU,787,1610612745,53,2009.99,19.17,13.51,4.68,1.3,0.47,109.7,101.7,0.581,0.228,0.17,10.06,23.79,0,0
1996-97,Charles Jones,HOU,279,1610612745,12,92.25,0.33,1.08,0.25,0.17,0.33,105.6,101.6,0.4,0.025,0.035,0.08,5.48,0,0
1996-97,Charles Oakley,NYK,891,1610612752,80,2869.78,10.8,9.76,2.76,1.39,0.26,101.1,98.8,0.545,0.153,0.121,11.8,15.64,0,0
1996-97,Charles Smith,SAS,293,1610612759,19,328.27,4.63,3.42,0.74,0.68,1.16,94.3,100.8,0.461,0.162,0.06,-0.13,12.35,0,0
1996-97,Charlie Ward,NYK,369,1610612752,79,1764.62,5.18,2.78,4.13,1.05,0.19,103.1,100.2,0.522,0.137,0.088,2.57,13.11,0,0
1996-97,Cherokee Parks,MIN,685,1610612750,76,962.69,3.32,2.57,0.45,0.54,0.63,103.0,102.4,0.535,0.12,0.062,1.48,12.01,0,0
1996-97,Chris Carr,MIN,713,1610612750,55,822.37,6.13,2.05,0.87,0.44,0.18,103.0,100.1,0.556,0.181,0.088,1.09,16.15,0,0
1996-97,Chris Childs,NYK,164,1610612752,65,2076.0,9.31,2.94,6.12,1.2,0.17,101.8,97.4,0.526,0.166,0.091,5.6,14.11,0,0
1996-97,Chris Dudley,POR,201,1610612757,81,1840.84,3.91,7.32,0.51,0.48,1.17,100.2,100.5,0.449,0.105,0.076,4.5,10.8,0,0
1996-97,Chris Gatling,NJN,423,1610612751,47,1280.92,18.96,7.87,0.6,0.83,0.66,101.6,105.3,0.58,0.306,0.162,0.49,24.05,0,0
